CS0MR35R,"BIOGUT S 0 1/2 R 3,5-75CM",CS26110,,24
CS0MR40L,"BIOGUT S 0 1/2 R 4,0-1,5M L",CS87110,1854T,24
CS0MR40R,"BIOGUT S 0 1/2 R 4,0-75CM",CS27110,854T,24
CS0MR50ER,"BIOGUT S 0 1/2 R 5,0-90CM",CS29110,1871T,24
CS0MR50R,"BIOGUT S 0 1/2 R 5,0-75CM",CSN29110V,E,24
CS1MR40R,"BIOGUT S 1 1/2 R 4,0-75CM",CS27101,,24
CS1MR50R,"BIOGUT S 1 1/2 R 5,0-75CM",,,24
CS20MR35R,"BIOGUT S 2-0 AG1/2 R 3,5-75CM",CS26120,843T,24
CS20MR40L,"BIOGUT S 2-0 1/2 R 4,0-1,5",CS87120,1853T,24
CS20MR40R,"BIOGUT S 2-0 1/2 4,0-75CM",CS27120,853T,24
CS20MR50R,"BIOGUT S 2-0 1/2 R 5,0-75CM",CSN29120V,E,24
CS30MR40,"BIOGUT S 3-0 1/2 R 4,0-75CM",,,24
CS0SA150,BIOGUT S 0 S/AG 150CM,CS15010E,CS105T,24
CS20SA150,BIOGUT S 2-0 S/AG 150CM,CS15020E,CS104T,24
CS30SA150,BIOGUT S 3-0 S/AG 150CM,CS15030E,CS103T,24
CS40MR15,"BIOGUT S 4-0 1/2 R 1,5-75CM",CS22140,U207T,24
CS50MR15,"BIOGUT S 5-0 1/2 R 1,5-75CM",CS22150,U208T,24
CS30MT17S3,"BIOGUT S 3-0 1/2 T 1,7-75CMS3",,,24
CS40MT15S3,"BIOGUT S 4-0 1/2 T 1,5-75CMS3",CS52140,,24
CS50MT15S3,"BIOGUT S 5-0 1/2 T 1,5-75CMS3",CS52150,,24
ABS0CR30G,"ABS PGA 0 AG3/8 CIL3,0-70CM",151000,J408H,36
ABS0MR26G,"ABS PGA 0 AG1/2 CIL2,6-70CM",241000,J318H,36
ABS0MR30G,"ABS PGA 0 AG1/2 CIL3,0-70CM",251000,,36
ABS0MR35G,"ABS PGA 0 AG1/2 CIL3,5-70CM",861000,J324H,36
ABS20CR30G,"ABS PGA 2-0 AG3/8 CIL3,0-70CM",151020,J407H,36
ABS20MR26G,"ABS PGA 2-0 AG1/2 CIL2,6-70CM",241020,XYJ317H,36
ABS20MR30G,"ABS PGA 2-0 AG1/2 CIL3,0-70CM",251020,J135H,36
ABS20MR35G,"ABS PGA 2-0 AG1/2 CIL3,5-70CM",861020,XYJ323H,36
ABS30CR30G,"ABS PGA 3-0 AG3/8 CIL3,0-70CM",151030,J406H,36
ABS30MR20G,"ABS PGA 3-0 AG1/2 CIL2,0-70CM",231030,XYJ311H,36
ABS30MR26G,"ABS PGA 3-0 AG1/2 CIL2,6-70CM",241030,XYJ316H,36
ABS30MR30G,"ABS PGA 3-0 AG1/2 CIL3,0-70CM",251030,,36
ABS30MR35G,"ABS PGA 3-0 AG1/2 CIL3,5-70CM",,XYJ322H,36
ABS40MR20G,"ABS PGA 4-0 AG1/2 CIL2,0-70CM",231040,XYJ310H,36
ABS40MR25G,"ABS PGA 4-0 AG1/2 CIL2,5-70CM",241040,XYJ315H,36
ABS40MR30G,"ABS PGA 4-0 AG1/2 CIL3,0-70CM",,,36
ABS50MR25G,"ABS PGA 5-0 AG1/2 CIL2,5-70CM",,J314H,36
ABS0CT30S3,"ABS PGA 0 AG3/8 COR3,0-70CMS3",451000,J187H,36
ABS20CT30S3,"ABS PGA 2-0 AG3/8 COR3,0-70CM",451020,J186H,36
ABS30MT20S3,"ABS PGA 3-0 AG1/2 COR2,0-70CM",531030,J160H,36
ABS50MT16AP,"ABS PGA 5-0 AG1/2 COR1,6-45CM",,,12
ABS60MT16AP,"ABS PGA 6-0 AG1/2 COR1,6-45CM",,,12
ABS0MR25R,"ABS PGA 0 AG1/2 CIL2,5-70CM",841000,XYJ334H,36
ABS0MR37R,"ABS PGA 0 AG1/2 CIL3,7-70CM",261000,XYJ340H,36
ABS0MR40L,"ABSPGA 0 AG1/2 CIL4,0-1,5M-LAC",871000,JL352H,36
ABS0MR40R,"ABS PGA 0 AG1/2 CIL4,0-70CM",271000,XYJ352H,36
ABS0MR48ER,"ABS PGA 0 AG1/2 CIL4,8-90CM",281000,XYJ370H,36
ABS0MT35R,"ABS PGA 0 AG1/2 COR3,5-70CM",561000,J167H,36
ABS0MT40R,"ABS PGA 0 AG1/2 COR4,0-70CM",,,36
ABS1CR30R,"ABS PGA 1 AG3/8 CIL3,0-70CM",,,36
ABS1MR37R,"ABS PGA 1 AG1/2 CIL3,7-70CM",261001,XYJ341H,36
ABS1MR40L,"ABSPGA 1 AG1/2 CIL4,0-1,5M-LAC",,,36
ABS1MR40R,"ABS PGA 1 AG1/2 CIL4,0-70CM",271001,XYJ353H,36
ABS1MR48ER,"ABS PGA 1 AG1/2 CIL4,8-90CM",281001,XYJ371H,36
ABS1MT37R,"ABS PGA 1 AG1/2 COR3,7-70CM",561001,J168H,36
ABS20MR25R,"ABS PGA 2-0 AG1/2 CIL2,5-70CM",841020,XYJ333H,36
ABS20MR37R,"ABS PGA 2-0 AG1/2 CIL3,7-70CM",261020,XYJ339H,36
ABS20MR40L,"ABSPGA 2-0 AG1/2 CIL4,0-1,5M-L",,JL351H,36
ABS20MR40R,"ABS PGA 2-0 AG1/2 CIL4,0-70CM",271020,XYJ351H,36
ABS20MT35R,"ABS PGA 2-0 AG1/2 COR3,5-70CM",561020,J166H,36
ABS30MR25R,"ABS PGA 3-0 AG1/2 CIL2,5-70CM",841030,XYJ332H,36
ABS30MR37R,"ABS PGA 3-0 AG1/2 CIL3,7-70CM",261030,XYJ338H,36
ABS1MT37O,"ABS PGA 1 AG1/2 COR3,7-70CM",861001,XYJ535H,36
ABS2MT40O,"ABS PGA 2 AG1/2 COR4,0-70CM",571002,J536H,36
ABS0UR37,"ABS PGA 0 AG5/8 CIL3,7-70CM",361000,XYJ376H,36
ABS20UR37,"ABS PGA 2-0 AG5/8 CIL3,7-70CM",361020,XYJ375H,36
ABS30UR37,"ABS PGA 3-0 AG5/8 CIL3,7-70CM",361030,J374H,36
ABS40MR15,"ABS PGA 4-0 AG1/2 CIL1,5-70CM",221040,XYJ304H,36
ABS50MR15,"ABS PGA 5-0 AG1/2 CIL1,5-70CM",221050,XYJ303H,36
ABS50MR20,"ABS PGA 5-0 AG1/2 CIL2,0-70CM",,,36
ABS60MR15,"ABS PGA 6-0 AG1/2 CIL1,5-70CM",221060,J302H,36
